Position Index,Predicted Position,Actual Position
0,[855.164 407.473 403.719],[855.947 407.198 406.232]
1,[ 316.565 -249.56   657.157],[ 315.202 -251.244  659.016]
2,[ 178.079 -529.877  906.539],[ 177.641 -531.357  906.472]
3,[ -15.9   -315.083  667.7  ],[ -16.191 -315.115  668.138]
4,[  -3.024 -381.196  871.024],[  -2.603 -382.671  868.932]
5,[817.  392.6  62.8],[816.706 392.337  59.815]
0,[855.164 407.473 403.719],[855.937 407.159 406.292]
1,[ 316.565 -249.56   657.157],[ 315.195 -251.242  659.037]
2,[ 178.079 -529.877  906.539],[ 177.628 -531.417  906.447]
3,[ -15.9   -315.083  667.7  ],[ -16.189 -315.082  668.165]
4,[  -3.024 -381.196  871.024],[  -2.638 -382.702  868.951]
5,[817.  392.6  62.8],[816.735 392.314  59.83 ]
0,[855.164 407.473 403.719],[855.97  407.12  406.292]
1,[ 316.565 -249.56   657.157],[ 315.205 -251.266  659.014]
2,[ 178.079 -529.877  906.539],[ 177.652 -531.378  906.479]
3,[ -15.9   -315.083  667.7  ],[ -16.206 -315.102  668.136]
4,[  -3.024 -381.196  871.024],[  -2.618 -382.681  868.949]
5,[817.  392.6  62.8],[816.703 392.34   59.808]
0,[855.164 407.473 403.719],[855.973 407.145 406.225]
1,[ 316.565 -249.56   657.157],[ 315.201 -251.275  659.02 ]
2,[ 178.079 -529.877  906.539],[ 177.635 -531.354  906.48 ]
3,[ -15.9   -315.083  667.7  ],[ -16.21  -315.122  668.136]
4,[  -3.024 -381.196  871.024],[  -2.593 -382.666  868.961]
5,[817.  392.6  62.8],[816.731 392.303  59.798]
0,[855.164 407.473 403.719],[855.955 407.14  406.266]
1,[ 316.565 -249.56   657.157],[ 315.199 -251.25   659.005]
2,[ 178.079 -529.877  906.539],[ 177.621 -531.389  906.453]
3,[ -15.9   -315.083  667.7  ],[ -16.214 -315.102  668.139]
4,[  -3.024 -381.196  871.024],[  -2.632 -382.709  868.912]
5,[817.  392.6  62.8],[816.717 392.337  59.792]
